,pearson_corr,abs_corr
a4_ex_length,0.09200093640373481,0.09200093640373481
def_role_dealer_prop_FULL,0.09189182946470138,0.09189182946470138
def_role_tank_prop_FULL,-0.09189182946470137,0.09189182946470137
d4_ex_length,0.09147177127041746,0.09147177127041746
atk_ex_cost_std,-0.09091649598363213,0.09091649598363213
d1_crit,-0.08986947167351633,0.08986947167351633
a2_cc_res,-0.08932534186488876,0.08932534186488876
a2_alt_count,-0.08798393385401265,0.08798393385401265
ttk_as2_to_def_str,-0.08786594406482172,0.08786594406482172
diff_crit_sum_FULL,-0.08741779647287763,0.08741779647287763
diff_crit_mean_FULL,-0.08741779647287758,0.08741779647287758
atk_def_mean,-0.08728907128470308,0.08728907128470308
atk_def_sum,-0.087289071284703,0.087289071284703
atk_accuracy_mean,0.08618644078944324,0.08618644078944324
atk_accuracy_sum,0.08618644078944311,0.08618644078944311
ttk_d1_to_atk,0.085885192514538,0.085885192514538
d1_cc_res,-0.0856632308362927,0.0856632308362927
d4_crit_dmg_res,0.0840954965078257,0.0840954965078257
d2_def,-0.08403199626761497,0.08403199626761497
a1_n_range,-0.08396278331324036,0.08396278331324036
a4_crit_dmg_res,0.08373704053279428,0.08373704053279428
d2_crit,0.08323449365919414,0.08323449365919414
d2_cc_res,0.08293773729903654,0.08293773729903654
a1_crit_dmg_res,0.08283578094977198,0.08283578094977198
def_atk_mean_FULL,0.08252010639833846,0.08252010639833846
def_atk_sum_FULL,0.0825201063983375,0.0825201063983375
def_max_hp_std_FULL,-0.08202484382664584,0.08202484382664584
a1_crit_res,0.08199918372077984,0.08199918372077984
def_position_front_prop_FULL,-0.08188604500463906,0.08188604500463906
d4_crit_res,0.08101553767758685,0.08101553767758685
a1_healing,0.0805899276396669,0.0805899276396669
atk_max_hp_mean,-0.08054061789233577,0.08054061789233577
atk_max_hp_sum,-0.08054061789233531,0.08054061789233531
d1_recov_boost,0.08046976545875933,0.08046976545875933
ds1_accuracy,0.07998933000350893,0.07998933000350893
a1_crit,-0.07993971753712609,0.07993971753712609
ttk_as1_to_def_str,-0.07972143173587719,0.07972143173587719
ttk_a2_to_def,-0.0786433704021902,0.0786433704021902
a1_crit_dmg,-0.07860292919473019,0.07860292919473019
atk_role_tank_prop_FULL,-0.07851138734107888,0.07851138734107888
atk_position_front_prop_FULL,-0.07851138734107888,0.07851138734107888
atk_position_back_prop_FULL,0.07851138734107868,0.07851138734107868
atk_role_dealer_prop_FULL,0.07851138734107863,0.07851138734107863
d2_dmg_reduction,-0.0784119043508442,0.0784119043508442
a2_crit_dmg,0.07840585298048953,0.07840585298048953
atk_evasion_std,0.07643774452095346,0.07643774452095346
atk_max_hp_std,-0.07542026718985291,0.07542026718985291
ds1_crit,0.07505457602801442,0.07505457602801442
def_def_std_PARTIAL,0.07439115969139852,0.07439115969139852
a1_atk,-0.07432269998736746,0.07432269998736746
diff_def_std_PARTIAL,-0.07328694368895976,0.07328694368895976
d4_accuracy,-0.0732582471190303,0.0732582471190303
def_crit_std_PARTIAL,-0.07325692518950412,0.07325692518950412
def_def_mean_FULL,-0.0730132293352277,0.0730132293352277
def_def_sum_FULL,-0.07301322933522769,0.07301322933522769
a2_crit_res,-0.07288673782243561,0.07288673782243561
def_healing_sum_PARTIAL,-0.07223820079153834,0.07223820079153834
def_healing_mean_PARTIAL,-0.07223820079153806,0.07223820079153806
